hotel	city	location	zone	star	mgrgroup	brand	openyear	roomquantity	ratingoverall	ratingroom	ratingatmosphere	ratingservice	ratingcostbenefit	fromrailway	fromairport	fromcitycenter	fromrailway2	fromairport2	fromcitycenter2	lat	lon	diy_breakfast	west_breakfast	chi_breakfast
4376228	2	119	22	5	0	0	1998-01-01	368	4.5407	4.5877	4.6643	4.5124	4.3983	9.0	26.0	6.0	2.5	2.5	2.5	NULL	NULL	NULL	NULL	NULL
4398845	2	116	369	5	0	0	2010-05-01	151	4.5769	4.7284	4.4236	4.5675	4.5883	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
4417598	2	115	14	5	7	138	1929-01-01	442	4.6031	4.6563	4.795	4.5087	4.4525	NULL	NULL	1.0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
4424591	2	121	368	5	32	23	2006-06-01	309	4.571	4.6812	4.5228	4.5566	4.5233	8.0	40.0	NULL	2.0	2.0	2.0	NULL	NULL	NULL	NULL	NULL
4440593	2	113	7	4	7	138	1993-01-01	455	4.4836	4.5183	4.6704	4.4389	4.3068	9.5	9.0	7.0	1.0	1.0	1.0	NULL	NULL	NULL	NULL	NULL
4444562	2	122	363	3	0	0	2014-12-01	380	4.2927	4.3717	4.4657	4.1649	4.1684	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
4496110	2	113	990	5	7	138	1986-01-01	773	4.3152	4.3696	4.5296	4.2892	4.0724	NULL	NULL	8.0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
620	2	115	14	5	340	154	1990-01-01	471	4.6757	4.7197	4.8137	4.6758	4.4934	4.5	12.0	2.0	1.0	1.0	1.0	NULL	NULL	NULL	NULL	NULL
634	2	116	369	5	0	0	1988-12-01	357	4.461	4.6042	4.3565	4.4303	4.4531	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
641	2	116	368	4	0	0	1988-01-01	374	4.4113	4.4888	4.3551	4.4427	4.3587	7.5	37.0	9.5	1.0	1.0	1.0	NULL	NULL	NULL	NULL	NULL
669	2	114	687	4	0	0	1988-06-01	300	4.3627	4.4201	4.4156	4.3876	4.2274	15.0	0.20000000298023224	14.0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
676	2	116	985	3	0	0	1987-01-01	192	4.074	4.0517	4.4652	4.018	3.7612	3.0	20.0	6.0	0.5	0.5	0.5	31.273853302001953	121.48860168457031	NULL	NULL	NULL
711	2	121	368	3	0	0	1990-09-01	166	3.9205	3.9364	4.3006	3.9017	3.5434	NULL	NULL	NULL	NULL	NULL	NULL	31.29521942138672	121.51622772216797	NULL	NULL	NULL
718	2	114	4	4	0	0	1985-01-01	118	4.2464	4.2923	4.3661	4.223	4.1043	11.0	5.0	NULL	2.0	2.0	2.0	NULL	NULL	NULL	NULL	NULL
732	2	112	16	3	0	0	1986-01-01	109	4.1361	4.1478	4.4824	4.0705	3.8437	NULL	NULL	0.5	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
5814	2	119	361	4	37	13	2006-05-01	326	4.4335	4.5348	4.4841	4.3628	4.3523	NULL	NULL	8.0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
5835	2	114	762	4	0	0	2006-05-01	188	3.937	3.9895	4.1185	3.8926	3.7476	7.0	7.5	7.0	2.0	2.0	2.0	NULL	NULL	NULL	NULL	NULL
8236	2	119	22	4	0	0	1997-01-01	399	4.316	4.3522	4.5063	4.2756	4.13	NULL	NULL	6.0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
15978	2	116	985	2	291	50	2000-07-01	150	4.387	4.4648	4.3704	4.4852	4.2278	7.0	15.0	5.0	0.5	0.5	0.5	NULL	NULL	NULL	NULL	NULL
15999	2	115	988	3	0	0	1999-01-01	150	4.2381	4.2526	4.4541	4.2047	4.0411	NULL	NULL	5.0	NULL	NULL	NULL	31.209835052490234	121.4689712524414	NULL	NULL	NULL
