hotel	city	location	zone	star	mgrgroup	brand	openyear	roomquantity	ratingoverall	ratingroom	ratingatmosphere	ratingservice	ratingcostbenefit	fromrailway	fromairport	fromcitycenter	fromrailway2	fromairport2	fromcitycenter2	lat	lon	diy_breakfast	west_breakfast	chi_breakfast
7	1	94	37	5	37	12	1984-01-01	827	4.224	4.3497	4.4557	4.1964	3.8942	8.0	20.0	10.0	0.5	0.5	0.5	NULL	NULL	NULL	NULL	NULL
14	1	96	40	5	21	35	1987-01-01	670	4.6743	4.755	4.6284	4.7036	4.61	14.5	32.0	11.5	4.5	4.5	4.5	NULL	NULL	NULL	NULL	NULL
21	1	94	767	4	665	825	1982-04-01	459	4.5589	4.5935	4.7081	4.5531	4.3809	3.0	24.0	4.5	1.0	1.0	1.0	NULL	NULL	NULL	NULL	NULL
28	1	96	40	5	665	825	1984-01-01	655	4.3456	4.4209	4.4947	4.3262	4.1407	9.0	33.0	5.5	1.2999999523162842	1.2999999523162842	1.2999999523162842	NULL	NULL	NULL	98	60
35	1	102	892	3	0	0	1998-01-01	145	3.7845	3.67	4.5616	3.6108	3.2956	NULL	NULL	NULL	NULL	NULL	NULL	40.409217834472656	116.6839370727539	NULL	NULL	26
49	1	92	40	4	32	21	1990-11-01	333	4.4499	4.5198	4.5048	4.4868	4.2881	9.0	31.0	5.5	2.5	2.5	2.5	NULL	NULL	NULL	NULL	NULL
56	1	94	37	3	0	0	1990-01-01	388	4.1919	4.2	4.4857	4.177	3.9051	9.0	20.0	11.0	1.5	1.5	1.5	NULL	NULL	NULL	NULL	NULL
70	1	94	37	4	0	0	2008-07-01	252	4.56	4.6475	4.642	4.495	4.4557	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
119	1	94	138	4	0	0	1998-01-01	396	4.3406	4.4258	4.4246	4.2488	4.2631	15.0	21.0	10.0	0.5	0.5	0.5	NULL	NULL	NULL	NULL	NULL
154	1	96	40	3	0	0	1984-01-01	298	4.3079	4.3362	4.4688	4.3576	4.0691	NULL	NULL	10.0	4.300000190734863	4.300000190734863	4.300000190734863	NULL	NULL	NULL	NULL	NULL
161	1	94	147	2	0	0	1996-01-01	148	4.3108	4.3572	4.2467	4.4459	4.1932	NULL	NULL	6.0	NULL	NULL	NULL	39.89173126220703	116.45532989501953	NULL	NULL	NULL
217	1	92	40	4	0	0	1994-06-01	204	4.2885	4.3285	4.4621	4.3152	4.048	11.0	26.0	8.0	0.800000011920929	0.800000011920929	0.800000011920929	NULL	NULL	NULL	NULL	NULL
6482	1	94	137	3	0	0	1993-01-01	137	4.075	4.2	4.2	4.0667	3.8333	NULL	NULL	10.0	NULL	NULL	NULL	39.97134780883789	116.4539566040039	NULL	NULL	NULL
6566	1	93	137	4	0	0	1994-01-01	115	4.1793	4.2566	4.3431	4.1097	4.0077	NULL	NULL	2.0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
7077	1	96	36	2	0	0	1994-12-01	111	4.3456	4.3859	4.4463	4.3569	4.1934	NULL	NULL	NULL	NULL	NULL	NULL	39.93135070800781	116.30729675292969	NULL	NULL	NULL
7959	1	93	135	3	0	0	2012-11-01	122	4.2446	4.2951	4.4133	4.2976	3.9722	NULL	NULL	2.5	NULL	NULL	NULL	39.912261962890625	116.43058776855469	NULL	NULL	NULL
10934	1	96	136	5	0	0	1997-11-01	408	4.4397	4.5208	4.4348	4.4365	4.3665	10.5	37.0	8.5	1.0	1.0	1.0	NULL	NULL	NULL	NULL	NULL
11263	1	94	137	4	0	0	1999-09-01	251	4.5151	4.5938	4.5235	4.486	4.457	8.0	22.0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
11340	1	96	36	5	0	0	1997-01-01	179	4.6052	4.6554	4.6864	4.5395	4.5395	NULL	NULL	6.5	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
15701	1	93	133	2	1	110	2005-11-01	116	4.4028	4.3951	4.6543	4.3765	4.1852	NULL	NULL	5.0	NULL	NULL	NULL	39.946556091308594	116.44649505615234	NULL	NULL	NULL
18494	1	93	31	4	0	0	2001-12-01	216	4.2426	4.2379	4.6085	4.1761	3.9481	NULL	NULL	1.0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
18571	1	94	767	3	0	0	1999-01-01	80	3.6723	3.6316	4.0752	3.5689	3.4135	NULL	NULL	7.0	NULL	NULL	NULL	39.92628860473633	116.45848846435547	NULL	NULL	NULL
18620	1	94	137	3	0	0	1991-01-01	164	3.9658	4.0054	4.2216	3.9604	3.6757	10.0	18.0	8.0	0.5	0.5	0.5	NULL	NULL	NULL	NULL	NULL
18788	1	92	136	3	5	49	2002-01-01	224	4.5764	4.6815	4.5541	4.5096	4.5605	NULL	NULL	8.0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
18809	1	93	135	2	0	0	2000-01-01	60	4.2481	4.3023	4.4057	4.2946	3.9897	NULL	NULL	3.5	NULL	NULL	NULL	39.917396545410156	116.43651580810547	NULL	NULL	NULL
19250	1	93	31	4	0	0	2013-09-01	120	4.5356	4.6596	4.5157	4.4332	4.534	3.0	32.0	0.5	1.0	1.0	1.0	NULL	NULL	NULL	NULL	NULL
19453	1	96	899	5	325	170	2003-03-01	211	4.5802	4.5824	4.7087	4.5972	4.4328	30.0	44.0	28.0	NULL	NULL	NULL	39.9970588684082	116.2094497680664	NULL	NULL	NULL
19677	1	94	133	4	0	0	2003-01-01	90	4.3844	4.4547	4.513	4.2811	4.2889	10.0	30.0	5.0	2.0	2.0	2.0	NULL	NULL	NULL	NULL	NULL
19684	1	98	44	3	0	0	2003-01-01	110	4.1386	4.218	4.1358	4.25	3.9507	25.0	3.5999999046325684	25.0	2.5	2.5	2.5	NULL	NULL	NULL	NULL	NULL
19726	1	92	40	4	0	0	1959-01-01	413	4.3009	4.4455	4.3697	4.2488	4.1398	13.0	37.0	8.0	1.399999976158142	1.399999976158142	1.399999976158142	NULL	NULL	NULL	NULL	NULL
20356	1	94	138	5	0	0	2008-08-01	221	4.4256	4.5535	4.3225	4.4202	4.4062	14.0	35.0	10.0	1.0	1.0	1.0	NULL	NULL	NULL	NULL	NULL
20412	1	92	136	4	32	21	2004-03-01	310	4.4095	4.5341	4.298	4.4526	4.3535	9.0	40.0	4.0	4.5	4.5	4.5	NULL	NULL	NULL	NULL	NULL
20867	1	106	895	3	0	0	2000-01-01	91	3.4527	3.5541	3.7027	3.4459	3.1081	NULL	NULL	80.0	NULL	NULL	NULL	40.15723419189453	117.12432098388672	NULL	NULL	20
21070	1	93	133	2	1	110	2004-01-01	135	4.3832	4.4056	4.4727	4.4799	4.1746	NULL	NULL	3.0	NULL	NULL	NULL	39.94340515136719	116.42227172851562	NULL	NULL	NULL
21609	1	105	889	4	0	0	2004-08-01	200	3.9446	4.0909	3.846	3.9765	3.8651	NULL	NULL	8.0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
21959	1	94	767	2	0	0	1999-01-01	80	4.1218	4.0871	4.3935	4.2065	3.8	NULL	NULL	10.0	NULL	NULL	NULL	39.9056396484375	116.46749114990234	NULL	NULL	NULL
22813	1	94	767	5	0	0	1990-01-01	24	4.4323	4.4679	4.617	4.3789	4.2653	NULL	NULL	8.0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
23170	1	92	41	5	32	24	2005-10-01	296	4.6598	4.7189	4.6979	4.6399	4.5824	10.0	40.0	2.0	0.5	0.5	0.5	NULL	NULL	NULL	NULL	NULL
24913	1	94	138	4	0	0	2005-09-01	58	3.7167	3.9714	3.3905	3.819	3.6857	NULL	NULL	NULL	NULL	NULL	NULL	40.00966262817383	116.43585205078125	NULL	NULL	NULL
25662	1	96	36	2	1	110	2006-02-01	89	4.3497	4.4645	4.3443	4.4016	4.1885	NULL	NULL	5.0	NULL	NULL	NULL	39.90644836425781	116.31600189208984	NULL	NULL	NULL
32228	1	104	896	3	0	0	2006-01-01	75	4.0456	4.0693	4.1934	4.1022	3.8175	45.0	40.0	45.0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
43904	1	92	40	2	128	68	2006-10-01	95	4.4008	4.5063	4.3399	4.4976	4.2596	NULL	NULL	4.0	NULL	NULL	NULL	39.937477111816406	116.37177276611328	NULL	15	NULL
43960	1	94	147	4	0	0	2006-09-01	277	4.3343	4.4208	4.3319	4.3514	4.2331	7.800000190734863	31.0	10.0	1.0	1.0	1.0	NULL	NULL	NULL	NULL	NULL
44744	1	95	890	4	0	0	1999-01-01	184	3.6747	3.738	3.8855	3.6024	3.4729	NULL	NULL	40.0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
45178	1	105	653	2	162	39	2006-08-01	125	3.9466	4.0107	4.0321	3.9744	3.7692	19.0	45.0	NULL	2.5	2.5	2.5	NULL	NULL	NULL	NULL	NULL
45332	1	104	900	4	0	0	2001-01-01	226	4.1862	4.2892	4.2111	4.1815	4.0629	NULL	NULL	10.0	NULL	NULL	NULL	40.08225631713867	116.32746887207031	NULL	NULL	NULL
45437	1	94	147	2	1	110	2006-10-01	169	4.2525	4.25	4.4295	4.276	4.0545	NULL	NULL	8.0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
45647	1	93	133	3	51	140	1954-01-01	150	4.2137	4.2508	4.3255	4.2536	4.0248	4.0	25.0	6.0	3.0	3.0	3.0	NULL	NULL	NULL	NULL	NULL
46004	1	96	651	2	162	39	2007-02-01	202	3.5104	3.4512	3.8695	3.5701	3.1506	NULL	NULL	13.0	NULL	NULL	NULL	40.00407791137695	116.37117767333984	NULL	NULL	NULL
46592	1	96	40	4	0	0	2007-03-01	304	4.4975	4.585	4.4993	4.4889	4.4169	13.0	31.0	11.0	4.0	4.0	4.0	NULL	NULL	NULL	NULL	NULL
46725	1	93	32	3	0	0	2007-02-01	75	3.8719	3.928	4.0526	3.8089	3.6981	2.0	29.0	5.0	3.0	3.0	3.0	NULL	NULL	NULL	NULL	NULL
47439	1	98	897	5	0	0	2006-09-01	271	4.0493	4.1493	4.0667	3.9787	4.0027	40.0	20.0	45.0	42.0	42.0	42.0	NULL	NULL	NULL	NULL	NULL
47502	1	94	650	2	0	0	2006-04-01	71	4.1075	4.0768	4.436	4.1181	3.7992	NULL	NULL	8.0	NULL	NULL	NULL	39.97138214111328	116.42410278320312	NULL	NULL	10
47607	1	92	41	4	0	0	2007-03-01	94	4.2678	4.3083	4.5178	4.249	3.996	NULL	NULL	2.5	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
48657	1	92	650	2	1	110	2007-06-01	93	4.1539	4.2067	4.182	4.2719	3.9551	NULL	NULL	6.300000190734863	NULL	NULL	NULL	39.959007263183594	116.39262390136719	NULL	NULL	NULL
48678	1	93	31	3	162	3	2007-07-01	164	4.2899	4.2803	4.6327	4.2499	3.9968	3.0	24.0	1.5	0.5	0.5	0.5	NULL	NULL	NULL	NULL	NULL
49049	1	94	138	2	0	0	2007-05-01	64	3.6807	3.604	3.9604	3.7129	3.4455	NULL	NULL	13.0	NULL	NULL	NULL	40.000701904296875	116.43724060058594	NULL	NULL	NULL
49861	1	93	137	2	549	572	2007-01-01	145	4.008	3.925	4.325	4.0326	3.7492	NULL	NULL	8.0	NULL	NULL	NULL	39.96221923828125	116.41567993164062	NULL	NULL	NULL
49896	1	101	47	2	3	44	2007-08-01	165	4.1522	4.2397	4.1892	4.1527	4.0274	NULL	NULL	8.5	NULL	NULL	NULL	39.86648941040039	116.37085723876953	NULL	NULL	NULL
50197	1	96	651	2	3	44	2006-08-01	196	3.8968	3.9054	4.1109	3.8689	3.7021	NULL	NULL	13.0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
50932	1	92	41	2	0	0	2000-01-01	70	4.1506	4.1325	4.4578	4.1446	3.8675	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
51044	1	94	767	5	22	17	2007-11-01	305	4.7889	4.8309	4.8257	4.7836	4.7154	7.0	27.0	8.0	1.7999999523162842	1.7999999523162842	1.7999999523162842	NULL	NULL	NULL	NULL	NULL
52150	1	96	899	3	0	0	1987-10-01	69	3.8963	4.2195	3.7073	3.7805	3.878	NULL	NULL	NULL	NULL	NULL	NULL	40.03877258300781	116.21833038330078	NULL	NULL	NULL
54117	1	94	138	3	0	0	2007-01-01	100	4.0401	4.1296	4.1121	3.9877	3.9311	NULL	NULL	18.0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
54656	1	101	147	2	1	110	2006-03-01	102	4.3115	4.4074	4.3573	4.3377	4.1438	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
55265	1	92	652	2	291	50	2008-03-01	111	3.9986	3.9629	4.3135	3.9963	3.7217	11.0	26.0	5.0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
55440	1	94	138	3	0	0	1997-10-01	92	4.14	4.1956	4.1911	4.1956	3.9778	NULL	NULL	NULL	NULL	NULL	NULL	39.99168395996094	116.41828155517578	NULL	NULL	NULL
55545	1	94	654	4	22	20	2008-06-01	253	4.5081	4.6496	4.3293	4.5407	4.513	NULL	NULL	NULL	4.0	4.0	4.0	NULL	NULL	NULL	NULL	NULL
56686	1	98	44	3	0	0	2008-01-01	116	3.6994	3.7882	3.676	3.8193	3.514	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	50	20
56812	1	94	654	4	0	0	2008-08-01	206	4.4185	4.4504	4.5196	4.3719	4.332	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
57085	1	96	651	5	37	13	2008-08-01	320	4.4888	4.6303	4.441	4.4192	4.4646	NULL	NULL	NULL	7.0	7.0	7.0	NULL	NULL	NULL	NULL	NULL
57141	1	96	651	4	0	0	2007-01-01	75	3.7616	3.6556	4.1656	3.8013	3.4238	NULL	NULL	NULL	3.0	3.0	3.0	NULL	NULL	NULL	NULL	NULL
57155	1	92	41	4	0	0	2008-03-01	54	4.3977	4.4313	4.4218	4.5671	4.1706	NULL	NULL	NULL	2.5	2.5	2.5	39.93581771850586	116.37360382080078	NULL	NULL	48
57176	1	96	651	2	0	0	2007-09-01	97	3.7944	3.693	4.2638	3.8118	3.4089	NULL	NULL	NULL	NULL	NULL	NULL	39.98992919921875	116.31047821044922	NULL	NULL	NULL
57190	1	92	136	2	128	68	2008-07-01	87	4.3802	4.5308	4.2183	4.4958	4.276	NULL	NULL	NULL	NULL	NULL	NULL	39.90264892578125	116.35381317138672	NULL	15	NULL
57232	1	104	900	3	0	0	2008-07-01	100	4.1443	4.2007	4.1947	4.1725	4.0094	NULL	NULL	NULL	NULL	NULL	NULL	40.08423614501953	116.3463134765625	NULL	NULL	NULL
57274	1	93	135	4	0	0	2008-07-01	78	4.4686	4.5736	4.5068	4.3776	4.4164	NULL	NULL	NULL	3.0	3.0	3.0	NULL	NULL	NULL	NULL	68
57337	1	94	654	3	32	22	2008-07-01	231	4.2078	4.2407	4.3731	4.229	3.9883	NULL	NULL	NULL	2.0	2.0	2.0	NULL	NULL	NULL	NULL	NULL
57393	1	92	136	3	0	0	1972-01-01	105	3.9265	3.9519	4.0749	4.0107	3.6684	NULL	NULL	NULL	NULL	NULL	NULL	39.88669204711914	116.36998748779297	NULL	NULL	NULL
57414	1	93	135	3	5	49	2008-07-01	139	4.4537	4.4578	4.7132	4.4026	4.2413	NULL	NULL	NULL	2.0	2.0	2.0	NULL	NULL	NULL	NULL	NULL
57463	1	98	44	3	0	0	2011-05-01	111	3.6085	3.65	3.7068	3.6205	3.4568	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
57589	1	93	31	5	0	0	2008-07-01	388	4.7575	4.7961	4.8188	4.6909	4.7244	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
57694	1	94	138	4	274	109	2008-07-01	279	4.4176	4.468	4.5204	4.3446	4.3372	NULL	NULL	NULL	1.5	1.5	1.5	NULL	NULL	NULL	NULL	NULL
60732	1	93	652	3	0	0	2008-08-01	140	4.1764	4.1538	4.4955	4.1556	3.9006	NULL	NULL	NULL	1.5	1.5	1.5	NULL	NULL	NULL	NULL	NULL
60767	1	96	651	5	0	0	2008-04-01	336	4.5223	4.5855	4.5486	4.4886	4.4664	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
60830	1	96	13572	3	0	0	2008-02-01	162	4.135	4.2345	4.1245	4.1825	3.9987	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
60900	1	96	13572	2	0	0	2007-12-01	210	4.1052	4.0368	4.3468	4.1572	3.8801	NULL	NULL	NULL	NULL	NULL	NULL	40.03294372558594	116.28258514404297	NULL	NULL	NULL
60977	1	96	40	2	0	0	2007-06-01	90	3.8069	3.8678	3.7739	3.9662	3.6197	NULL	NULL	NULL	NULL	NULL	NULL	39.94208526611328	116.32459259033203	NULL	NULL	10
61033	1	94	654	4	0	0	2008-07-01	168	4.489	4.5581	4.5387	4.4434	4.4158	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
61103	1	94	138	4	162	1	2008-07-01	127	4.2807	4.3355	4.3697	4.2865	4.1313	NULL	NULL	NULL	3.0	3.0	3.0	NULL	NULL	NULL	NULL	NULL
61278	1	98	44	3	0	0	2007-05-01	300	4.1534	4.2391	4.1755	4.2332	3.9658	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
61362	1	92	41	2	0	0	1996-01-01	74	4.1891	4.1474	4.4168	4.2168	3.9752	NULL	NULL	NULL	NULL	NULL	NULL	39.89723205566406	116.38166809082031	NULL	NULL	NULL
61467	1	94	133	5	0	0	2008-08-01	99	4.7386	4.7851	4.7811	4.7025	4.6856	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
61754	1	94	137	4	10	5	2008-08-01	306	4.3153	4.3714	4.5549	4.1826	4.1521	NULL	NULL	NULL	1.399999976158142	1.399999976158142	1.399999976158142	NULL	NULL	NULL	150	150
61845	1	93	133	3	0	0	2008-06-01	245	3.9548	4.0296	4.1382	3.7303	3.9211	NULL	NULL	NULL	NULL	NULL	NULL	39.945308685302734	116.44818115234375	NULL	NULL	NULL
61859	1	96	651	2	0	0	2007-08-01	94	4.044	4.0869	4.3791	4.0213	3.6888	NULL	NULL	NULL	NULL	NULL	NULL	39.983760833740234	116.31304931640625	NULL	NULL	NULL
62167	1	92	136	2	0	0	2005-07-01	98	4.1522	4.2529	4.1765	4.2103	3.9691	NULL	NULL	NULL	NULL	NULL	NULL	39.88576126098633	116.35306549072266	NULL	NULL	NULL
62447	1	101	47	2	5	48	2008-07-01	151	3.8008	3.7982	3.9247	3.9111	3.5693	NULL	NULL	5.0	NULL	NULL	NULL	39.8725700378418	116.3752212524414	NULL	NULL	NULL
62657	1	94	147	5	665	825	2008-08-01	277	4.49	4.604	4.3909	4.5086	4.4567	NULL	NULL	NULL	4.0	4.0	4.0	NULL	NULL	NULL	NULL	NULL
62944	1	108	891	2	1	110	2012-07-01	99	4.4992	4.5783	4.4124	4.5752	4.431	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	8
63035	1	94	138	4	0	0	2008-07-01	289	4.5976	4.6512	4.6619	4.5274	4.55	NULL	NULL	NULL	NULL	NULL	NULL	39.99913024902344	116.41246032714844	NULL	69	NULL
63049	1	94	767	2	291	50	2008-09-01	100	3.9287	3.9926	3.9741	3.9741	3.7741	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
63217	1	96	40	2	5	48	2008-09-01	149	4.1272	4.1239	4.3065	4.1826	3.8957	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
64057	1	94	767	2	665	828	2008-08-01	84	4.1991	4.2917	4.1296	4.338	4.037	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
64925	1	94	37	5	22	18	2009-03-01	311	4.6268	4.7084	4.5832	4.6378	4.5779	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
65751	1	104	900	2	0	0	2008-10-01	116	3.4548	3.5677	3.5871	3.4581	3.2065	NULL	NULL	NULL	NULL	NULL	NULL	40.0654411315918	116.41592407226562	NULL	NULL	NULL
65779	1	96	651	3	0	0	1991-10-01	86	4.0319	4.0925	4.2687	3.9604	3.8062	NULL	NULL	NULL	NULL	NULL	NULL	39.996517181396484	116.3752212524414	NULL	NULL	20
66836	1	108	891	3	0	0	2008-08-01	256	4.3057	4.3423	4.3661	4.3301	4.1845	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
66850	1	93	31	3	0	0	2008-02-01	150	4.0697	4.0144	4.5431	4.0199	3.7013	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
67025	1	101	136	2	665	828	2009-06-01	92	4.3326	4.3977	4.3801	4.3743	4.1784	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
67417	1	93	133	4	0	0	2009-07-01	84	4.0013	3.9788	4.3001	3.9775	3.7489	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
71274	1	92	41	3	0	0	2005-12-01	106	4.6041	4.6988	4.5023	4.5566	4.6587	NULL	NULL	NULL	NULL	NULL	NULL	39.921180725097656	116.34626007080078	NULL	NULL	NULL
71281	1	93	32	2	665	828	2006-01-01	104	3.9281	3.8659	4.2849	3.9553	3.6061	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
71582	1	92	41	2	1	110	2009-08-01	84	4.4655	4.5304	4.4836	4.5397	4.3084	NULL	NULL	NULL	NULL	NULL	NULL	39.91122055053711	116.3480224609375	NULL	NULL	NULL
71827	1	101	47	3	0	0	2009-08-01	224	4.0749	4.0442	4.2632	4.0699	3.9222	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
72786	1	92	41	4	0	0	2009-11-01	473	4.6118	4.6459	4.7239	4.5269	4.5505	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
73094	1	94	654	4	0	0	1997-10-01	144	4.2457	4.3214	4.2755	4.2854	4.1007	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
73927	1	101	147	4	0	0	2008-01-01	286	4.3541	4.3913	4.3639	4.3889	4.2722	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
74375	1	92	41	2	0	0	2009-10-01	70	3.8074	3.8	4.0649	3.7216	3.6432	NULL	NULL	NULL	NULL	NULL	NULL	39.89826965332031	116.36126708984375	NULL	NULL	NULL
74697	1	101	47	2	322	132	2009-09-01	60	4.3654	4.5385	4.3846	4.359	4.1795	NULL	NULL	NULL	NULL	NULL	NULL	39.8716926574707	116.37715148925781	NULL	NULL	NULL
74942	1	92	41	2	0	0	2008-06-01	82	4.2102	4.2308	4.5035	4.1871	3.9196	NULL	NULL	NULL	NULL	NULL	NULL	39.92727279663086	116.3595199584961	NULL	NULL	NULL
75103	1	96	651	4	0	0	2010-01-01	344	4.475	4.5785	4.5051	4.4182	4.3982	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
75229	1	92	41	2	0	0	2006-05-01	115	4.1356	4.1119	4.3582	4.1667	3.9055	NULL	NULL	NULL	NULL	NULL	NULL	39.9185676574707	116.3492202758789	NULL	NULL	NULL
75719	1	102	892	5	0	0	2009-03-01	72	4.4603	4.5479	4.5958	4.3982	4.2994	NULL	NULL	NULL	NULL	NULL	NULL	40.35403823852539	116.56448364257812	NULL	NULL	NULL
75873	1	105	889	4	0	0	2010-01-01	82	4.2133	4.2951	4.1978	4.1834	4.177	NULL	NULL	NULL	NULL	NULL	NULL	39.741554260253906	116.3468246459961	NULL	NULL	NULL
75964	1	101	36	2	0	0	2008-08-01	49	4.226	4.3718	4.2244	4.2756	4.0321	NULL	NULL	NULL	NULL	NULL	NULL	39.899044036865234	116.25975036621094	NULL	NULL	NULL
76013	1	95	890	3	0	0	1995-01-01	120	3.9863	3.9863	4.3425	3.9932	3.6233	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
76251	1	94	654	2	1	110	2010-03-01	134	4.3619	4.4284	4.3716	4.3896	4.2582	NULL	NULL	NULL	NULL	NULL	NULL	39.982444763183594	116.50223541259766	NULL	NULL	NULL
76601	1	101	47	2	0	0	2010-01-01	60	4.75	5.0	5.0	5.0	4.0	NULL	NULL	NULL	NULL	NULL	NULL	39.86874771118164	116.42251586914062	NULL	NULL	NULL
77504	1	94	138	2	1	110	2010-05-01	84	4.3507	4.4669	4.1868	4.4416	4.3074	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
77847	1	94	654	2	5	48	2010-05-01	77	4.1073	4.1541	4.1208	4.1903	3.9637	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
78750	1	109	901	3	0	0	2009-04-01	15	4.1662	4.1015	4.3077	4.4123	3.8431	NULL	NULL	NULL	NULL	NULL	NULL	40.365943908691406	116.00800323486328	NULL	68	38
79394	1	94	767	5	21	35	2010-08-01	278	4.7956	4.8389	4.833	4.7316	4.7791	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
79436	1	98	44	2	1	110	2014-08-01	74	4.3325	4.4912	4.0367	4.5073	4.2947	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
79506	1	93	47	2	665	828	2010-07-01	122	4.2959	4.3852	4.2827	4.3534	4.1625	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
79520	1	94	37	5	0	0	2009-02-01	16	4.7038	4.7846	4.6923	4.6923	4.6462	NULL	NULL	NULL	NULL	NULL	NULL	39.93214416503906	116.49492645263672	NULL	140	140
79646	1	98	44	5	9	10	2010-07-01	322	4.688	4.7657	4.6318	4.6502	4.7041	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
79758	1	93	135	2	0	0	2008-01-01	40	3.8073	3.7733	4.1217	3.8305	3.5036	NULL	NULL	NULL	NULL	NULL	NULL	39.909942626953125	116.4400863647461	NULL	NULL	NULL
80227	1	96	40	2	0	0	2005-09-01	39	4.173	4.25	4.2143	4.2366	3.9911	NULL	NULL	NULL	NULL	NULL	NULL	39.944278717041016	116.28321075439453	NULL	NULL	NULL
80388	1	96	36	3	0	0	1997-05-01	163	3.8287	3.8503	4.0442	3.9048	3.5153	NULL	NULL	NULL	NULL	NULL	NULL	39.92465591430664	116.2802734375	NULL	NULL	NULL
80640	1	92	47	2	373	390	2005-04-01	85	3.654	3.543	3.9536	3.7649	3.3543	NULL	NULL	NULL	NULL	NULL	NULL	39.8827018737793	116.36143493652344	NULL	NULL	5
80794	1	92	40	2	0	0	2010-02-01	66	4.264	4.2995	4.4626	4.2727	4.0214	NULL	NULL	NULL	NULL	NULL	NULL	39.94119644165039	116.36024475097656	NULL	NULL	NULL
81165	1	105	653	3	0	0	2010-01-01	87	3.7834	3.9585	3.788	3.7419	3.6452	NULL	NULL	NULL	NULL	NULL	NULL	39.791290283203125	116.5059814453125	NULL	NULL	NULL
81543	1	101	47	2	0	0	2008-10-01	94	3.1051	3.0363	3.5529	3.1043	2.7267	NULL	NULL	NULL	NULL	NULL	NULL	39.872982025146484	116.3714599609375	NULL	NULL	NULL
